clubShortName,firstName,lastName,position,marketValue
PSG,Vincent,Gérard,GK,9.5
PSG,Yann,Genty,GK,7.0
PSG,Benoît,Kounkoud,LW,12.0
PSG,Dainis,Kristopans,LW,9.5
PSG,Luc,Steins,LB,13.0
PSG,Elohim,Prandi,LB,11.0
PSG,Nedim,Remili,CB,15.0
PSG,Mathieu,Grebille,CB,8.5
PSG,Dika,Mem,RW,14.0
PSG,Ferran,Solé,RW,10.5
PSG,Luka,Karabatic,PV,11.0
PSG,Nicolas,Tournat,PV,9.0
PSG,Valter,Chrintz,RB,9.5
PSG,Thibaud,Briet,RB,8.0
MHB,Rémi,Desbonnet,GK,12.0
MHB,Mattias,Andersson,GK,7.0
MHB,Melvyn,Richardson,LW,10.5
MHB,Kyllian,Villeminot,LW,8.0
MHB,Yanis,Lenne,LB,8.0
MHB,Romain,Lagarde,LB,7.5
MHB,Ludovic,Fabregas,CB,9.0
MHB,Jérémy,Sorhaindo,CB,8.5
MHB,Hugo,Descat,RW,12.0
MHB,Dylan,Nahi,RW,10.0
MHB,Valentin,Porte,PV,8.5
MHB,Joao,Ferraz,PV,7.5
MHB,Ludovic,Pinot,RB,8.5
MHB,Sébastien,Parello,RB,7.0
HBCN,Cyril,Dumoulin,GK,9.0
HBCN,Alexis,Vittinghus,GK,7.0
HBCN,Valentin,Ghionea,LW,8.0
HBCN,Antoine,Bouchez,LW,7.5
HBCN,Dragan,Pechmalbec,LB,8.5
HBCN,Daouda,Karaboué,LB,8.0
HBCN,Nicolas,Claire,CB,9.5
HBCN,Julien,Bos,CB,8.5
HBCN,Lucas,Pelletier,RW,9.0
HBCN,Antoine,Vigan,RW,7.5
HBCN,Thibault,Rousseau,PV,8.0
HBCN,Olivier,Nyokas,PV,7.0
HBCN,Fabien,Engilberge,RB,8.5
HBCN,Yoann,Gibelin,RB,7.0
CSMBH,William,Accambray,LB,9.0
CSMBH,Cédric,Sorhaindo,LW,9.0
CSMBH,Jesper,Noddesbo,RB,8.5
CSMBH,Baptiste,Kintzig,LB,8.0
CSMBH,Julien,Bonnefond,GK,8.0
CSMBH,Adrien,Llorente,GK,6.5
CSMBH,Théo,Derot,LW,7.5
CSMBH,Yanis,Mahrous,CB,8.0
CSMBH,Romain,Gailliègue,CB,7.5
CSMBH,Pierre,Volle,RW,8.0
CSMBH,Dylan,Wojtyla,RW,7.0
CSMBH,Nicolas,Grébille,PV,8.0
CSMBH,Alan,Nguidjol,PV,7.0
CSMBH,Brendan,Hanquinquant,RB,7.5
USAM,Nicolas,Mignon,GK,7.5
USAM,Baptiste,Bonnefond,GK,6.5
USAM,Aurélien,Caucheteux,LW,8.0
USAM,Ibrahim,Dramé,LW,7.0
USAM,Aymeric,Minne,LB,7.5
USAM,Adam,Morawski,LB,7.0
USAM,Xavier,Barachet,CB,8.0
USAM,Florian,Viudes,CB,7.5
USAM,Kevin,Bonnefond,RW,8.5
USAM,Brice,Luce,RW,7.0
USAM,Mamadou,Gassama,PV,7.5
USAM,Maxime,Gicquel,PV,7.0
USAM,Valentin,Genty,RB,8.0
USAM,Théo,Monar,RB,7.0
USDK,Léon,Maginot,GK,7.5
USDK,Arnaud,Siffert,GK,6.5
USDK,Pierre,Hanquinquant,LW,7.5
USDK,Timothé,Gombou,LW,6.5
USDK,Maxime,Michon,LB,7.5
USDK,Noé,Renard,LB,6.5
USDK,Thomas,Rousseau,CB,8.0
USDK,Florian,Bourceaux,CB,7.0
USDK,Pierre,Aguilar,RW,7.5
USDK,Jimmy,Mure,RW,6.5
USDK,Baptiste,Razafindrandriatsimaniry,PV,7.5
USDK,Teddy,Maggini,PV,6.5
USDK,Nicolas,Duport,RB,7.5
USDK,Elie,Bayle,RB,6.5
PAUC,Jonathan,Darras,GK,8.0
PAUC,Sébastien,Garrédou,GK,6.5
PAUC,Karl,Konan,LW,8.0
PAUC,Kenan,Pirolic,LW,7.5
PAUC,Romain,Paulin,LB,8.0
PAUC,Nans,Piriou,LB,7.5
PAUC,Stéphane,Stoecklin,CB,8.5
PAUC,Nathan,Thislé,CB,7.5
PAUC,Thibault,Gardent,RW,8.0
PAUC,Maxime,Sevin,RW,7.0
PAUC,Baptiste,Bonneau,PV,8.0
PAUC,Maxime,Frémont,PV,7.0
PAUC,Simon,Bourrier,RB,7.5
PAUC,Alexandre,Bleskine,RB,7.0
FENIX,Karl,Moreno,GK,7.5
FENIX,Benjamin,Buric,GK,6.5
FENIX,Clément,Cornuet,LW,7.5
FENIX,Baptiste,Ferreira,LW,6.5
FENIX,Mathieu,Semedo,LB,7.5
FENIX,Mathis,Bernhardt,LB,7.0
FENIX,Maxime,Pambet,CB,8.0
FENIX,Thomas,Genty,CB,7.0
FENIX,Djibril,Mbacké,RW,7.5
FENIX,Jules,Faber,RW,6.5
FENIX,Théo,Gaugue,PV,7.5
FENIX,Jordan,Briet,PV,6.5
FENIX,Alexis,Richard,RB,7.5
FENIX,Axel,Rouquette,RB,7.0
CRMHB,Cyril,Lardeur,GK,7.0
CRMHB,Thomas,Sercien-Ugolin,GK,6.0
CRMHB,Hugo,Calinaud,LW,7.0
CRMHB,Timothé,Jouannet,LW,6.5
CRMHB,Théo,Roffner,LB,7.0
CRMHB,Matthieu,Jambost,LB,6.5
CRMHB,Sylvain,Leutelier,CB,7.5
CRMHB,Antoine,Larrouture,CB,7.0
CRMHB,Quentin,Minel,RW,7.0
CRMHB,Baptiste,Cornuet,RW,6.5
CRMHB,Alexandre,Ferrand,PV,7.0
CRMHB,Kevin,Foltyn,PV,6.5
CRMHB,Nicolas,Vignoles,RB,7.0
CRMHB,Kevin,Vignoles,RB,6.5
IPH,Thomas,Oriol,GK,7.0
IPH,Martin,Bauer,GK,6.0
IPH,Antonin,Pradat,LW,7.0
IPH,Brendan,Galbernard,LW,6.5
IPH,Robin,Cantegrel,LB,7.0
IPH,Nathan,Vausselin,LB,6.5
IPH,Thibault,Massé,CB,7.5
IPH,Dylan,Roth,CB,7.0
IPH,Gaëtan,Valentin,RW,7.0
IPH,Baptiste,Foltyn,RW,6.5
IPH,Théo,Lasserre,PV,7.0
IPH,Cédric,Paty,PV,6.5
IPH,Julien,Meyer,RB,7.0
IPH,Mathieu,Fradin,RB,6.5
LIMOGES,Julien,Rebelo,GK,6.5
LIMOGES,Hugo,Joasson,GK,5.5
LIMOGES,Quentin,Diallo,LW,6.5
LIMOGES,Adrien,Descat,LW,6.0
LIMOGES,Maxime,Perrin,LB,6.5
LIMOGES,Théo,Castaignos,LB,6.0
LIMOGES,Thomas,Mrkva,CB,7.0
LIMOGES,Clément,Kieffer,CB,6.5
LIMOGES,Killian,Roselier,RW,6.5
LIMOGES,Pierre,Clement,RW,6.0
LIMOGES,Nathan,Foltyn,PV,6.5
LIMOGES,Julien,Dupé,PV,6.0
LIMOGES,Théo,Pasquier,RB,6.5
LIMOGES,Robin,Wojtyla,RB,6.0
SAHB,Jonathan,Duval,GK,7.0
SAHB,Pierre,Leclercq,GK,6.0
SAHB,Quentin,Maudet,LW,7.0
SAHB,Hugo,Martin,LW,6.5
SAHB,Baptiste,Laurent,LB,7.0
SAHB,Mathieu,Gravier,LB,6.5
SAHB,Nathan,Descat,CB,7.5
SAHB,Karim,Saoudi,CB,7.0
SAHB,Valentin,Mathis,RW,7.0
SAHB,Romain,Siffert,RW,6.5
SAHB,Thomas,Bernard,PV,7.0
SAHB,Victor,Noel,PV,6.5
SAHB,Alexis,Hanquinquant,RB,7.0
SAHB,Pierre,Turchet,RB,6.5
USCH,Matthieu,Bauer,GK,6.5
USCH,Thibault,Paulin,GK,5.5
USCH,Théo,Dupé,LW,6.5
USCH,Clement,Martin,LW,6.0
USCH,Maxime,Valentin,LB,6.5
USCH,Hugo,Faber,LB,6.0
USCH,Thomas,Klein,CB,7.0
USCH,Romain,Bernard,CB,6.5
USCH,Adrien,Moreau,RW,6.5
USCH,Baptiste,Lefort,RW,6.0
USCH,Pierre,Genty,PV,6.5
USCH,Nicolas,Pradat,PV,6.0
USCH,Maxime,Sercien,RB,6.5
USCH,Théo,Nguyen,RB,6.0
SARAN,Jonathan,Capelle,GK,6.5
SARAN,Hugo,Rebelo,GK,5.5
SARAN,Pierre,Diallo,LW,6.5
SARAN,Axel,Lardeur,LW,6.0
SARAN,Baptiste,Roffner,LB,6.5
SARAN,Mathieu,Jost,LB,6.0
SARAN,Thomas,Gautier,CB,7.0
SARAN,Clément,Vausselin,CB,6.5
SARAN,Hugo,Sevin,RW,6.5
SARAN,Killian,Briet,RW,6.0
SARAN,Nathan,Blanc,PV,6.5
SARAN,Antoine,Michel,PV,6.0
SARAN,Baptiste,Dumont,RB,6.5
SARAN,Loïc,Garnier,RB,6.0
CCMHB,Guillaume,Joly,GK,6.5
CCMHB,Thomas,Minne,GK,5.5
CCMHB,Pierre,Fontaine,LW,6.5
CCMHB,Mathis,Leconte,LW,6.0
CCMHB,Axel,Paulin,LB,6.5
CCMHB,Hugo,Collin,LB,6.0
CCMHB,Julien,Renard,CB,7.0
CCMHB,Maxime,Bauer,CB,6.5
CCMHB,Robin,Descat,RW,6.5
CCMHB,Kevin,Sevin,RW,6.0
CCMHB,Thomas,Nguyen,PV,6.5
CCMHB,Quentin,Foltyn,PV,6.0
CCMHB,Baptiste,Clement,RB,6.5
CCMHB,Nathan,Klein,RB,6.0
GNMHB,Sébastien,Dupé,GK,6.5
GNMHB,Pierre,Martin,GK,5.5
GNMHB,Hugo,Lefort,LW,6.5
GNMHB,Thomas,Calinaud,LW,6.0
GNMHB,Mathieu,Vignoles,LB,6.5
GNMHB,Clément,Roselier,LB,6.0
GNMHB,Baptiste,Oriol,CB,7.0
GNMHB,Julien,Cornuet,CB,6.5
GNMHB,Nicolas,Wojtyla,RW,6.5
GNMHB,Théo,Gombou,RW,6.0
GNMHB,Maxime,Gravier,PV,6.5
GNMHB,Robin,Minel,PV,6.0
GNMHB,Antoine,Pradat,RB,6.5
GNMHB,Hugo,Bernard,RB,6.0
